# spanwise profile label=P3 x=39 z=0.548848 t=38 n=97
# y(m) U_x U_y U_z alpha valid
 0 -0.22090666  0.00475978153  0.0993377194  0.999996 1
 0.00520833349 -0.22090666  0.00475978153  0.0993377194  0.999996 1
 0.010416667 -0.249752998  0.0167472307  0.0993019566  0.999996 1
 0.015625 -0.273761541  0.024889743  0.0975658447  0.999996 1
 0.020833334 -0.29219237  0.0316985808  0.0933408216  0.999994 1
 0.026041666 -0.306649387  0.0348942429  0.0872727931  0.999993 1
 0.03125 -0.317323118  0.033190053  0.081126444  0.999957 1
 0.0364583321 -0.317323118  0.033190053  0.081126444  0.999957 1
 0.0416666679 -0.323630929  0.0271189399  0.0749132335  0.999687 1
 0.046875 -0.324692756  0.0191684701  0.0684848875  0.999567 1
 0.0520833321 -0.319440335  0.00963791274  0.0642358959  0.999564 1
 0.0572916679 -0.31078437  0.000186629346  0.0593348257  0.999858 1
 0.0625 -0.303066939 -0.00590606499  0.0461030267  0.999968 1
 0.0677083358 -0.303066939 -0.00590606499  0.0461030267  0.999968 1
 0.0729166642 -0.29747963 -0.0101471674  0.0273703672  0.999977 1
 0.078125 -0.290681392 -0.0121347085  0.0121190604  0.999973 1
 0.0833333358 -0.281552047 -0.00987097155  0.00685838331  0.999911 1
 0.0885416642 -0.274056762 -0.00451492239  0.0210175384  0.999323 1
 0.09375 -0.270261467 -0.00387837552  0.0388119631  0.998699 1
 0.0989583358 -0.270261467 -0.00387837552  0.0388119631  0.998699 1
 0.104166664 -0.264568895 -0.00546462927  0.0422209315  0.999971 1
 0.109375 -0.258803278 -0.00767682446  0.0355145  0.999952 1
 0.114583336 -0.25739044 -0.00779246353  0.0248335488  0.999419 1
 0.119791664 -0.254911274 -0.00404444616  0.0257983617  0.997952 1
 0.125 -0.249698088  0.00447494304  0.0372964218  0.997874 1
 0.130208328 -0.249698088  0.00447494304  0.0372964218  0.997874 1
 0.135416672 -0.246519551  0.0169966333  0.0445831083  0.99808 1
 0.140625 -0.24810414  0.025334321  0.0498879068  0.998927 1
 0.145833328 -0.259735137  0.0283298939  0.0713718086  0.999371 1
 0.151041672 -0.26891765  0.0162024554  0.0949699879  0.999829 1
 0.15625 -0.26891765  0.0162024554  0.0949699879  0.999829 1
 0.161458328 -0.257912546  0.00457248278  0.0985694006  0.999857 1
 0.166666672 -0.249199212  0.000388707063  0.0944506824  0.999983 1
 0.171875 -0.254106015 -0.000275480357  0.100830331  0.999995 1
 0.177083328 -0.263204545  0.00670315791  0.104182616  0.999995 1
 0.182291672 -0.275976598  0.0155502232  0.0974365249  0.999995 1
 0.1875 -0.275976598  0.0155502232  0.0974365249  0.999995 1
 0.192708328 -0.298662543  0.0252661239  0.0884251967  0.999996 1
 0.197916672 -0.329687148  0.0374856628  0.0833900943  0.999999 1
 0.203125 -0.359810561  0.0494914576  0.082266286  0.999998 1
 0.208333328 -0.383519262  0.0572041348  0.0832042769  0.999993 1
 0.213541672 -0.401287973  0.055246491  0.0830381885  0.999985 1
 0.21875 -0.401287973  0.055246491  0.0830381885  0.999985 1
 0.223958328 -0.407675087  0.0369811058  0.084268108  0.999961 1
 0.229166672 -0.390935034  0.0126090702  0.0889564827  0.999749 1
 0.234375 -0.355859041  0.00313655916  0.0982841551  0.995166 1
 0.239583328 -0.315942615 -0.00578493346  0.100108244  0.996771 1
 0.244791672 -0.245310575 -0.0103205135  0.0620009974  0.999784 1
 0.25 -0.245310575 -0.0103205135  0.0620009974  0.999784 1
 0.255208343 -0.191972569 -0.00166457158  0.0105379652  0.999931 1
 0.260416657 -0.202055559  0.00847810227 -0.0031496468  0.999753 1
 0.265625 -0.218466416  0.0116858324  0.000691719179  0.9999 1
 0.270833343 -0.229224816  0.0148517964  0.0180002507  0.999839 1
 0.276041657 -0.237038136  0.022174133  0.0489356034  0.998568 1
 0.28125 -0.237038136  0.022174133  0.0489356034  0.998568 1
 0.286458343 -0.253254145  0.0368645042  0.0660452992  0.992344 1
 0.291666657 -0.284902751  0.0488229655  0.0850585252  0.993861 1
 0.296875 -0.312033504  0.053123273  0.109596342  0.99858 1
 0.302083343 -0.328483313  0.0539830998  0.137081072  0.999435 1
