# vertical alpha at x=41 y=0.25 t=0
# z(m) alpha
 0  nan
 0.010416667  nan
 0.020833334  nan
 0.03125  nan
 0.0416666679  nan
 0.0520833321  nan
 0.0625  nan
 0.0729166642  nan
 0.0833333358  nan
 0.09375  nan
 0.104166664  nan
 0.114583336  nan
 0.125  nan
 0.135416672  nan
 0.145833328  nan
 0.15625  nan
 0.166666672  nan
 0.177083328  nan
 0.1875  nan
 0.197916672  nan
 0.208333328  nan
 0.21875  nan
 0.229166672  nan
 0.239583328  nan
 0.25  nan
 0.260416657  nan
 0.270833343  nan
 0.28125  nan
 0.291666657  nan
 0.302083343  nan
 0.3125  nan
 0.322916657  nan
 0.333333343  nan
 0.34375  nan
 0.354166657  nan
 0.364583343  nan
 0.375  nan
 0.385416657  nan
 0.395833343  nan
 0.40625  nan
 0.416666657  nan
 0.427083343  nan
 0.4375  nan
 0.447916657  nan
 0.458333343  nan
 0.46875  nan
 0.479166657  nan
 0.489583343  nan
 0.5  nan
 0.510416687  nan
 0.520833313  nan
 0.53125  nan
 0.541666687  nan
 0.552083313  nan
 0.5625  nan
 0.572916687  nan
 0.583333313  1
 0.59375  1
 0.604166687  1
 0.614583313  1
 0.625  1
 0.635416687  1
 0.645833313  1
 0.65625  1
 0.666666687  1
 0.677083313  1
 0.6875  1
 0.697916687  0.969989
 0.708333313  0.00117732
 0.71875  8.49199e-10
 0.729166687  7.1357e-18
 0.739583313  1.14742e-22
 0.75 -0
 0.760416687  nan
 0.770833313  nan
 0.78125  nan
 0.791666687  nan
 0.802083313  nan
 0.8125  nan
 0.822916687  nan
 0.833333313  nan
 0.84375  nan
 0.854166687  nan
 0.864583313  nan
 0.875  nan
 0.885416687  nan
 0.895833313  nan
 0.90625  nan
 0.916666687  nan
 0.927083313 -0
 0.9375 -0
 0.947916687 -0
 0.958333313 -0
 0.96875 -0
 0.979166687 -0
 0.989583313 -0
 1 -0
